customer_id,order_count,total_sales,city,customer_label
117,5,4100000,성남,Customer 117
102,4,3996000,고양,Customer 102
83,4,3880000,수원,Customer 83
30,5,3590000,서울,Customer 30
40,4,3523000,서울,Customer 40
20,2,3191000,인천,Customer 20
3,2,3178000,성남,Customer 3
111,3,3153000,광주,Customer 111
66,4,3093000,서울,Customer 66
147,2,2990000,부산,Customer 147
18,3,2960000,고양,Customer 18
105,3,2837000,광주,Customer 105
38,2,2834000,울산,Customer 38
60,2,2812000,성남,Customer 60
24,4,2419000,대전,Customer 24
56,3,2411000,인천,Customer 56
32,2,2389000,고양,Customer 32
106,2,2343000,부산,Customer 106
128,2,2330000,고양,Customer 128
107,2,2325000,고양,Customer 107
135,2,2170000,대구,Customer 135
37,2,2122000,고양,Customer 37
65,3,2107000,인천,Customer 65
16,2,2058000,부산,Customer 16
87,2,2022000,울산,Customer 87
5,2,2004000,부산,Customer 5
126,3,1961000,서울,Customer 126
114,3,1956000,성남,Customer 114
130,2,1942000,대전,Customer 130
23,1,1931000,대전,Customer 23
33,2,1913000,수원,Customer 33
43,1,1863000,고양,Customer 43
90,3,1831000,울산,Customer 90
78,3,1829000,울산,Customer 78
63,2,1675000,대전,Customer 63
144,1,1626000,광주,Customer 144
77,2,1625000,서울,Customer 77
50,2,1620000,광주,Customer 50
108,3,1591000,성남,Customer 108
47,3,1587000,울산,Customer 47
13,1,1549000,울산,Customer 13
8,2,1532000,수원,Customer 8
104,2,1496000,광주,Customer 104
125,2,1470000,수원,Customer 125
93,2,1460000,대전,Customer 93
121,2,1445000,서울,Customer 121
123,1,1436000,서울,Customer 123
137,2,1395000,울산,Customer 137
6,2,1349000,성남,Customer 6
39,1,1298000,대구,Customer 39
149,1,1295000,부산,Customer 149
141,1,1241000,광주,Customer 141
41,1,1229000,대구,Customer 41
84,1,1197000,성남,Customer 84
7,1,1173000,인천,Customer 7
115,1,1173000,부산,Customer 115
129,1,1142000,대구,Customer 129
9,2,1132000,서울,Customer 9
133,1,1098000,성남,Customer 133
119,1,1064000,대전,Customer 119
58,1,1059000,성남,Customer 58
145,3,1032000,성남,Customer 145
140,2,1029000,인천,Customer 140
124,2,1000000,대구,Customer 124
146,1,1000000,성남,Customer 146
76,1,996000,울산,Customer 76
116,2,937000,부산,Customer 116
70,1,924000,성남,Customer 70
103,1,923000,인천,Customer 103
14,1,905000,대전,Customer 14
98,2,898000,인천,Customer 98
28,1,881000,성남,Customer 28
27,2,862000,수원,Customer 27
99,1,860000,고양,Customer 99
55,1,837000,광주,Customer 55
110,1,804000,부산,Customer 110
95,1,760000,성남,Customer 95
26,1,735000,대구,Customer 26
122,2,734000,울산,Customer 122
68,2,643000,서울,Customer 68
4,1,603000,울산,Customer 4
113,1,579000,성남,Customer 113
86,1,569000,수원,Customer 86
21,1,526000,인천,Customer 21
22,1,512000,광주,Customer 22
36,1,471000,성남,Customer 36
91,2,456000,인천,Customer 91
12,1,396000,대전,Customer 12
71,1,394000,수원,Customer 71
138,1,350000,대구,Customer 138
118,1,344000,광주,Customer 118
31,1,306000,광주,Customer 31
62,1,292000,광주,Customer 62
148,1,271000,고양,Customer 148
92,1,267000,서울,Customer 92
49,1,262000,대구,Customer 49
15,1,252000,서울,Customer 15
69,2,130000,서울,Customer 69
80,1,118000,인천,Customer 80
112,2,112000,성남,Customer 112
