order_day,total_sales,order_count,avg_order_value
2025-07-09,361000,1,361000.0
2025-07-11,283000,1,283000.0
2025-07-12,892000,2,446000.0
2025-07-13,985000,1,985000.0
2025-07-14,276000,1,276000.0
2025-07-19,603000,1,603000.0
2025-07-20,794000,1,794000.0
2025-07-23,756000,1,756000.0
2025-07-25,690000,1,690000.0
2025-07-27,915000,1,915000.0
2025-07-28,888000,1,888000.0
2025-07-29,1416000,1,1416000.0
2025-07-31,2968000,2,1484000.0
2025-08-02,1892000,1,1892000.0
2025-08-03,815000,1,815000.0
2025-08-04,1347000,2,673500.0
2025-08-05,608000,1,608000.0
2025-08-06,118000,1,118000.0
2025-08-08,1128000,2,564000.0
2025-08-10,3031000,3,1010333.0
2025-08-13,1098000,1,1098000.0
2025-08-15,312000,1,312000.0
2025-08-16,2157000,2,1078500.0
2025-08-17,1059000,1,1059000.0
2025-08-21,2635000,2,1317500.0
2025-08-23,2404000,3,801333.0
2025-08-25,660000,1,660000.0
2025-08-26,1870000,2,935000.0
2025-09-01,526000,1,526000.0
2025-09-03,1769000,2,884500.0
2025-09-04,781000,1,781000.0
2025-09-05,1025000,1,1025000.0
2025-09-06,839000,2,419500.0
2025-09-10,489000,1,489000.0
2025-09-13,411000,1,411000.0
2025-09-14,1375000,1,1375000.0
2025-09-15,306000,1,306000.0
2025-09-16,1605000,1,1605000.0
2025-09-17,2257000,2,1128500.0
2025-09-20,2637000,3,879000.0
2025-09-21,396000,1,396000.0
2025-09-22,1626000,1,1626000.0
2025-09-26,245000,1,245000.0
2025-09-27,804000,1,804000.0
2025-09-28,1949000,1,1949000.0
2025-09-30,235000,1,235000.0
2025-10-02,1108000,1,1108000.0
2025-10-03,1613000,2,806500.0
2025-10-04,1194000,1,1194000.0
2025-10-05,1590000,2,795000.0
2025-10-06,1491000,1,1491000.0
2025-10-09,3894000,3,1298000.0
2025-10-10,2468000,2,1234000.0
2025-10-11,348000,1,348000.0
2025-10-12,1170000,1,1170000.0
2025-10-13,1452000,1,1452000.0
2025-10-14,140000,1,140000.0
2025-10-16,905000,1,905000.0
2025-10-18,1592000,2,796000.0
2025-10-19,20000,1,20000.0
2025-10-20,907000,2,453500.0
2025-10-21,3091000,2,1545500.0
2025-10-22,524000,1,524000.0
2025-10-23,1620000,2,810000.0
2025-10-24,1752000,2,876000.0
